id,answer_id,stock_id,add
1,1,11,TRUE
2,1,22,TRUE
3,3,11,TRUE
4,3,22,TRUE
5,5,11,TRUE
6,5,22,TRUE
7,7,11,TRUE
8,7,2,TRUE
9,7,3,TRUE
10,9,3,TRUE
11,9,22,TRUE
12,11,11,TRUE
13,11,4,TRUE
14,11,9,TRUE
15,13,19,TRUE
16,15,13,TRUE
17,17,1,TRUE
18,17,13,TRUE
19,17,22,TRUE
20,19,14,TRUE
21,21,11,TRUE
22,21,16,TRUE
23,21,22,TRUE
24,23,11,TRUE
25,23,17,TRUE
26,23,22,TRUE
27,29,6,TRUE
28,29,11,TRUE
29,29,22,TRUE
30,29,24,TRUE
31,30,11,TRUE
32,30,22,TRUE
33,33,11,TRUE
34,33,22,TRUE
35,35,11,TRUE
36,35,18,TRUE
37,35,22,TRUE
38,37,12,TRUE
39,39,11,TRUE
40,39,12,TRUE
41,41,11,TRUE
42,41,15,TRUE
43,41,22,TRUE
44,44,11,TRUE
45,44,24,TRUE
46,46,11,TRUE
47,46,24,TRUE
48,48,14,TRUE
49,48,17,TRUE
50,49,11,TRUE
51,49,22,TRUE
52,49,24,TRUE
53,51,11,TRUE
54,53,11,TRUE
55,53,14,TRUE
56,55,11,TRUE
57,55,22,TRUE
58,57,11,TRUE
59,57,16,TRUE
60,57,17,TRUE
61,57,22,TRUE
62,58,3,TRUE
63,58,11,TRUE
64,58,21,TRUE
65,59,11,TRUE
66,59,14,TRUE
67,60,8,TRUE
68,60,11,TRUE
69,61,3,TRUE
70,61,11,TRUE
71,61,15,TRUE
72,61,22,TRUE
73,62,2,TRUE
74,62,5,TRUE
75,62,11,TRUE
76,63,9,TRUE
77,63,11,TRUE
78,63,14,TRUE
79,63,22,TRUE
80,64,11,TRUE
81,64,23,TRUE
82,64,25,TRUE
83,65,3,TRUE
84,65,11,TRUE
85,65,15,TRUE
86,66,11,TRUE
87,66,14,TRUE
88,66,22,TRUE
89,67,11,TRUE
90,67,23,TRUE
91,67,25,TRUE
92,68,9,TRUE
93,68,11,TRUE
94,69,4,TRUE
95,69,11,TRUE
96,69,15,TRUE
97,70,11,TRUE
98,70,15,TRUE
99,71,1,TRUE
100,72,1,TRUE
101,73,1,TRUE
102,74,1,TRUE
103,75,1,TRUE
104,76,1,TRUE
105,77,1,TRUE
106,78,1,TRUE
107,79,1,TRUE
108,80,1,TRUE
109,81,1,TRUE
110,82,1,TRUE
111,83,1,TRUE
112,84,1,TRUE
113,85,1,TRUE
114,86,1,TRUE
115,87,1,TRUE
116,88,1,TRUE
117,89,1,TRUE
118,90,1,TRUE
119,91,1,TRUE
120,92,1,TRUE
121,93,1,TRUE
122,94,1,TRUE
123,95,1,TRUE
124,96,1,TRUE
125,97,1,TRUE
126,98,1,TRUE
127,99,1,TRUE
128,100,1,TRUE
129,101,1,TRUE
130,102,1,TRUE
131,103,11,TRUE
132,103,14,TRUE
133,103,22,TRUE
134,104,24,TRUE
135,105,11,TRUE
136,105,14,TRUE
137,105,24,TRUE
138,106,11,TRUE
139,107,11,TRUE
140,107,14,TRUE
141,107,18,TRUE
142,107,22,TRUE
143,108,5,TRUE
144,108,11,TRUE
145,108,19,TRUE
146,109,5,TRUE
147,109,11,TRUE
148,109,19,TRUE
149,109,21,TRUE
150,110,5,TRUE
151,110,11,TRUE
152,110,14,TRUE
153,110,19,TRUE
154,110,22,TRUE
155,111,10,TRUE
156,111,11,TRUE
157,111,24,TRUE
158,112,11,TRUE
159,113,2,TRUE
160,113,19,TRUE
161,114,2,TRUE
162,114,5,TRUE
163,114,11,TRUE
164,114,19,TRUE
165,114,21,TRUE
166,115,7,TRUE
167,115,9,TRUE
168,115,11,TRUE
169,116,3,TRUE
170,116,24,TRUE
171,116,25,TRUE
172,117,3,TRUE
173,117,11,TRUE
174,118,4,TRUE
175,118,15,TRUE
176,119,3,TRUE
177,119,7,TRUE
178,119,11,TRUE
179,119,19,TRUE
180,121,13,TRUE
181,121,19,TRUE
182,122,11,TRUE
183,123,11,TRUE
184,124,3,TRUE
185,124,11,TRUE
186,124,21,TRUE
187,125,3,TRUE
188,125,21,TRUE
189,125,11,TRUE
190,126,7,TRUE
191,126,11,TRUE
192,126,15,TRUE
193,127,19,TRUE
194,128,19,TRUE
195,129,7,TRUE
196,129,14,TRUE
197,129,19,TRUE
198,129,25,TRUE
199,130,12,TRUE
200,131,5,TRUE
201,131,11,TRUE
202,131,12,TRUE
203,131,19,TRUE
204,132,8,TRUE
205,133,19,TRUE
206,134,11,TRUE
207,134,12,TRUE
